SNR,MUSIC_FD_Rate,NN_FD_Rate
SNR=30,7.3531334856422,1.66076923076923
SNR=27,8.44397606117017,1.67769230769231
SNR=24,9.95238424910961,1.69615384615385
SNR=21,11.7425786748925,1.72769230769231
SNR=18,14.4964883805011,1.75230769230769
SNR=15,17.6624435572581,1.89461538461538
SNR=12,21.9511069401068,2.24384615384615
SNR=9,26.691385185812,5.56615384615385
SNR=6,32.2133247178824,12.2253846153846
SNR=3,38.6213103782511,36.4461538461538
SNR=0,46.0376313481746,48.5615384615385
SNR=-3,54.1462176341174,59.0946153846154
