SNR,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,L_11,L_12,L_13,L_14,L_15
SNR=30,24.4494828020071,34.4404890103453,41.2073958323924,41.0262371024245,43.4156792467839,45.5963053762133,46.4297801201902,45.9058377799204,48.698131850093,47.9913236900064,47.6006801043665,46.8499459365513,48.1219934264335
SNR=27,31.0514392354599,39.887005300695,43.3506080613053,47.4182529653679,49.1749505810667,49.0039743917968,50.203250964247,51.4680402364914,51.0426897820437,51.2523392930655,51.7792235039061,52.4992956297379,52.3373023239498
SNR=24,41.1682875230142,46.7713260798513,47.2707736282382,51.0835056899113,52.0062876068262,53.7648302586285,55.1808944396024,55.0002660118678,54.3121640796648,54.8744392242092,55.5898827847262,55.9126741452102,55.3978302435224
SNR=21,45.5625143333002,52.6082229156924,53.0191851728728,55.0584485495268,57.6325024763013,56.3817014236224,58.8345381316227,58.8706342934759,58.4541180911054,59.7300084924016,60.3588923272801,58.9733328070086,61.4952800334127
SNR=18,52.1830437530143,57.3899748552498,59.0426189838824,60.5892971662896,59.7949747456527,62.7522760375151,62.3602769091493,62.4847441759937,63.9607142388876,63.6933617822279,63.939835889942,65.2888497402138,65.0718295089209
SNR=15,57.5752650974978,61.4100966753712,63.1945924729535,65.059188570985,65.5697729301702,66.2273725114227,67.0676234059343,67.6128383938774,68.4217525814857,67.4435470851154,69.453224045407,70.5651480963792,72.8761901815104
SNR=12,64.50025004785,68.4433752825919,67.9772129055482,69.2854380318368,70.1137276454321,73.4984853460122,72.6696683307013,72.8891366973289,73.7323950352362,77.8389113129204,76.9921115512764,78.5587009234422,81.3932459886272
SNR=9,62.8100069735434,73.6355680554613,71.9271405967006,74.7011757130383,78.1573156814097,81.5265224635148,82.173025379487,83.0194146491793,83.6279601797239,83.7770934627441,84.4152272258292,83.907201837007,84.5421469494214
SNR=6,80.0686504839231,79.9407392024918,80.7139658742389,80.2155903925243,80.4248094088642,81.2166217271508,81.0404098269361,81.1111714633892,81.0457785844601,81.6089432206391,82.5928055264835,81.8235948330796,81.5961527319061
SNR=3,60.3317877191632,61.0673176690532,62.1183691076397,63.1753105237107,63.6308475515045,63.3240904771324,63.6797640051974,63.6202675617521,64.9280164686269,64.3056656076967,64.4624489245076,65.0163246456815,65.5883949057952
SNR=0,46.7379877746567,48.0146899404306,49.4283190425376,49.0456535975248,50.6176004798463,50.7606363362058,51.3909287079131,51.5921808925228,52.1541611365857,52.2347466422739,53.7619519974679,51.3726156934891,53.2300596411932
SNR=-3,50.661163055651,51.8846163872556,52.4891844145991,50.5563591391673,51.2164063684496,51.3352392674794,53.0769512320674,51.7001366156866,51.4205798497751,50.8506172011157,51.4275880449983,51.8266537566528,50.024992907161
